,FIPS,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
612,17035,14.1,11.0,5.3,4.0
613,17037,14.1,11.0,5.3,4.0
614,17039,14.1,11.0,5.3,4.0
615,17041,14.1,11.0,5.3,4.0
616,17043,14.1,11.0,5.3,4.0
617,17045,14.1,11.0,5.3,4.0
618,17047,14.1,11.0,5.3,4.0
619,17049,14.1,11.0,5.3,4.0
620,17051,14.1,11.0,5.3,4.0
621,17053,14.1,11.0,5.3,4.0
622,17055,14.1,11.0,5.3,4.0
623,17057,14.1,11.0,5.3,4.0
624,17059,14.1,11.0,5.3,4.0
625,17061,14.1,11.0,5.3,4.0
626,17063,14.1,11.0,5.3,4.0
627,17065,14.1,11.0,5.3,4.0
628,17067,14.1,11.0,5.3,4.0
629,17069,14.1,11.0,5.3,4.0
630,17071,14.1,11.0,5.3,4.0
631,17073,14.1,11.0,5.3,4.0
632,17075,14.1,11.0,5.3,4.0
633,17077,14.1,11.0,5.3,4.0
634,17079,14.1,11.0,5.3,4.0
635,17081,14.1,11.0,5.3,4.0
636,17083,14.1,11.0,5.3,4.0
637,17085,14.1,11.0,5.3,4.0
638,17087,14.1,11.0,5.3,4.0
639,17089,14.1,11.0,5.3,4.0
640,17091,14.1,11.0,5.3,4.0
641,17093,14.1,11.0,5.3,4.0
642,17095,14.1,11.0,5.3,4.0
643,17097,14.1,11.0,5.3,4.0
644,17099,14.1,11.0,5.3,4.0
645,17101,14.1,11.0,5.3,4.0
646,17103,14.1,11.0,5.3,4.0
