,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
373,12.8,12.2,25.2,28.4,22.799999999999997,0.067902492,0.069056958
374,8.5,9.0,25.2,28.4,22.799999999999997,0.096899719,0.114871132
375,9.4,11.5,25.2,28.4,22.799999999999997,0.0570436,0.065342608
376,9.1,9.0,25.2,28.4,22.799999999999997,0.089900916,0.105843129
377,9.9,11.1,25.2,28.4,22.799999999999997,0.104639999,0.125944889
378,8.9,10.0,25.2,28.4,22.799999999999997,0.110221263,0.118339564
379,9.2,14.9,25.2,28.4,22.799999999999997,0.0102066,0.0327544
380,11.0,13.5,25.2,28.4,22.799999999999997,0.0461318,0.0456256
381,10.2,15.4,25.2,28.4,22.799999999999997,0.132438637,0.045212
382,11.5,12.5,25.2,28.4,22.799999999999997,0.0,0.0
383,9.6,12.4,25.2,28.4,22.799999999999997,0.091004876,0.107742733
